town;type;key;lat;lon;tags
berlin;atm;27411240;52.522610;13.402352;"{""name"":""S Hackescher Markt"",""wheelchair"":""yes""}"
berlin;atm;28968291;52.486645;13.320617;"{""name"":""Berliner Sparkasse"",""wheelchair"":""no"",""amenity"":""bank""}"
berlin;atm;29045600;52.546329;13.359219;"{""name"":""U Leopoldplatz"",""wheelchair"":""yes""}"
berlin;atm;29046450;52.506214;13.332368;"{""name"":""U Zoologischer Garten"",""wheelchair"":""yes""}"
berlin;atm;29046973;52.495800;13.330864;"{""name"":""U Spichernstra\u00dfe"",""wheelchair"":""no""}"
berlin;atm;29046976;52.490692;13.330968;"{""name"":""U G\u00fcntzelstra\u00dfe"",""wheelchair"":""no""}"
berlin;atm;29046979;52.487309;13.331040;"{""name"":""U Berliner Stra\u00dfe"",""wheelchair"":""yes""}"
berlin;atm;29123754;52.509998;13.271606;"{""name"":""U Theodor-Heuss-Platz"",""wheelchair"":""yes""}"
berlin;atm;29494292;52.493050;13.422075;"{""name"":""U Sch\u00f6nleinstra\u00dfe"",""wheelchair"":""no"",""operator"":""BVG""}"
berlin;atm;29494303;52.486427;13.424379;"{""name"":""U Hermannplatz"",""wheelchair"":""yes""}"
berlin;atm;29495049;52.509052;13.378187;"{""name"":""U Potsdamer Platz"",""wheelchair"":""yes""}"
berlin;atm;31207786;52.506542;13.306771;"{""name"":""U Wilmersdorfer Stra\u00dfe"",""wheelchair"":""yes""}"
berlin;atm;31207787;52.511482;13.305214;"{""name"":""U Bismarckstra\u00dfe"",""wheelchair"":""yes""}"
berlin;atm;31207789;52.517387;13.306588;"{""name"":""U Richard-Wagner-Platz"",""wheelchair"":""no""}"
berlin;atm;60848455;52.530354;13.471070;"{""name"":""Berliner Sparkasse"",""wheelchair"":""limited"",""amenity"":""bank""}"
berlin;atm;60852951;52.524586;13.465439;"{""name"":""Berliner Volksbank"",""wheelchair"":""yes"",""amenity"":""bank""}"
berlin;atm;81362527;52.510277;13.271941;"{""name"":""Sparkasse"",""wheelchair"":""yes"",""amenity"":""bank""}"
berlin;atm;81362613;52.510059;13.273154;"{""name"":""Commerzbank"",""wheelchair"":""yes"",""amenity"":""bank""}"
berlin;atm;81362619;52.509953;13.273782;"{""name"":""Deutsche Bank"",""wheelchair"":""no"",""amenity"":""bank""}"
berlin;atm;87036263;52.532986;13.384282;"{""name"":""Sparda-Bank"",""wheelchair"":""yes"",""amenity"":""atm""}"
