town;type;key;lat;lon;tags
berlin;cctv;16541597;52.546440;13.345439;"{""name"":""Aral"",""wheelchair"":""yes"",""amenity"":""fuel"",""man_made"":""surveillance""}"
berlin;cctv;30015304;52.457550;13.321604;"{""name"":""Deutsche Bank"",""wheelchair"":""no"",""amenity"":""bank"",""man_made"":""surveillance""}"
berlin;cctv;69226035;52.510509;13.395946;"{""name"":""Leipziger Apotheke"",""wheelchair"":""limited"",""amenity"":""pharmacy"",""man_made"":""surveillance""}"
berlin;cctv;69226073;52.510403;13.389410;"{""name"":""Sixt"",""wheelchair"":""yes"",""amenity"":""car_rental"",""man_made"":""surveillance""}"
berlin;cctv;249075198;52.516060;13.402303;"{""man_made"":""surveillance"",""surveillance"":""outdoor""}"
berlin;cctv;249075212;52.515614;13.400957;"{""man_made"":""surveillance"",""surveillance"":""outdoor""}"
berlin;cctv;249075213;52.515358;13.401195;"{""man_made"":""surveillance"",""surveillance"":""outdoor""}"
berlin;cctv;249075226;52.515438;13.400509;"{""man_made"":""surveillance"",""surveillance"":""outdoor""}"
berlin;cctv;249075227;52.515244;13.400689;"{""man_made"":""surveillance"",""surveillance"":""outdoor""}"
berlin;cctv;256898645;52.521049;13.413212;"{""man_made"":""surveillance"",""surveillance"":""outdoor""}"
berlin;cctv;256898646;52.520851;13.413449;"{""man_made"":""surveillance"",""surveillance"":""outdoor""}"
berlin;cctv;260762771;52.515381;13.383318;"{""man_made"":""surveillance"",""surveillance"":""outdoor""}"
berlin;cctv;262521810;52.518257;13.380609;"{""man_made"":""surveillance"",""surveillance"":""outdoor""}"
berlin;cctv;273418863;52.504097;13.619281;"{""name"":""Agip"",""amenity"":""fuel"",""man_made"":""surveillance""}"
berlin;cctv;273418893;52.504265;13.624319;"{""name"":""Total Station"",""amenity"":""fuel"",""man_made"":""surveillance""}"
berlin;cctv;276325869;52.543793;13.351513;"{""man_made"":""surveillance"",""surveillance"":""outdoor""}"
berlin;cctv;276689626;52.521790;13.377943;"{""man_made"":""surveillance"",""surveillance"":""outdoor""}"
berlin;cctv;277065067;52.457397;13.320900;"{""name"":""Berliner Sparkasse"",""wheelchair"":""yes"",""amenity"":""bank"",""man_made"":""surveillance""}"
berlin;cctv;277297699;52.511684;13.396478;"{""man_made"":""surveillance"",""surveillance"":""outdoor""}"
berlin;cctv;279597020;52.543480;13.359515;"{""man_made"":""surveillance"",""surveillance"":""outdoor""}"
berlin;cctv;279972858;52.544586;13.351461;"{""man_made"":""surveillance"",""surveillance"":""outdoor""}"
berlin;cctv;283031036;52.515274;13.381639;"{""man_made"":""surveillance"",""surveillance"":""outdoor""}"
berlin;cctv;284557960;52.520844;13.409275;"{""man_made"":""surveillance"",""surveillance"":""webcam""}"
