town;type;key;lat;lon;tags
berlin;radar;21537826;52.400135;13.515107;[]
berlin;radar;27540883;52.461266;13.420072;"{""maxspeed"":""80""}"
berlin;radar;27540888;52.461128;13.420141;"{""maxspeed"":""80""}"
berlin;radar;27543311;52.462589;13.436959;"{""maxspeed"":""80""}"
berlin;radar;27543322;52.462471;13.436981;"{""maxspeed"":""80""}"
berlin;radar;310996633;52.394772;13.433455;"{""maxspeed"":""50""}"
berlin;radar;326847472;52.512718;13.485101;"{""note"":""Stadteinw\u00e4rts und alle Fahrspuren""}"
berlin;radar;421428023;52.464523;13.315615;[]
berlin;radar;654569720;52.469601;13.385849;[]
berlin;radar;919729667;52.400120;13.514949;[]
berlin;radar;933600413;52.399979;13.454727;"{""maxspeed"":""50""}"
berlin;radar;1111438194;52.464218;13.316636;[]
berlin;radar;1112759556;52.552738;13.355826;[]
berlin;radar;1204201596;52.490097;13.386549;"{""note"":""Die Blitzer Kamera ist bereits eingetragen. Die werden nicht angezeigt, weil Mapnik diese nicht darstellt.""}"
berlin;radar;1232458360;52.463440;13.402956;[]
berlin;radar;1657707674;52.393700;13.528859;"{""maxspeed"":""50""}"
berlin;radar;1657707682;52.393764;13.528785;"{""maxspeed"":""50""}"
berlin;radar;2056729122;52.502048;13.376669;[]
berlin;radar;2090973348;52.521976;13.451005;"{""note"":""Rotlichtkontrolle Heckfoto""}"
berlin;radar;2090973350;52.522488;13.450638;"{""note"":""Rotlichtkontrolle Frontfoto""}"
berlin;radar;2132971058;52.608788;13.199559;"{""maxspeed"":""30""}"
berlin;radar;2132972891;52.608391;13.199237;"{""maxspeed"":""30""}"
