town;type;key;lat;lon;tags
berlin;traffic_signals;172539;52.565186;13.335455;"{""highway"":""traffic_signals""}"
berlin;traffic_signals;172545;52.567005;13.346634;"{""highway"":""traffic_signals""}"
berlin;traffic_signals;172549;52.563396;13.342901;"{""highway"":""traffic_signals""}"
berlin;traffic_signals;172562;52.562599;13.330664;"{""highway"":""traffic_signals""}"
berlin;traffic_signals;172564;52.564053;13.327688;"{""highway"":""traffic_signals""}"
berlin;traffic_signals;172587;52.573643;13.352144;"{""highway"":""traffic_signals""}"
berlin;traffic_signals;172589;52.573219;13.358995;"{""highway"":""traffic_signals""}"
berlin;traffic_signals;172594;52.570343;13.360853;"{""highway"":""traffic_signals""}"
berlin;traffic_signals;484078;52.539619;13.295356;"{""highway"":""traffic_signals""}"
berlin;traffic_signals;484121;52.539642;13.294898;"{""highway"":""traffic_signals""}"
berlin;traffic_signals;530176;52.561607;13.326142;"{""highway"":""traffic_signals""}"
berlin;traffic_signals;530177;52.562553;13.326715;"{""highway"":""traffic_signals""}"
berlin;traffic_signals;530186;52.562561;13.326531;"{""highway"":""traffic_signals""}"
berlin;traffic_signals;530202;52.573410;13.359024;"{""highway"":""traffic_signals""}"
berlin;traffic_signals;530205;52.573811;13.352179;"{""highway"":""traffic_signals""}"
berlin;traffic_signals;530215;52.574379;13.347923;"{""highway"":""traffic_signals""}"
berlin;traffic_signals;530225;52.558712;13.337277;"{""highway"":""traffic_signals""}"
berlin;traffic_signals;530256;52.569283;13.330068;"{""highway"":""traffic_signals""}"
berlin;traffic_signals;530262;52.564156;13.327816;"{""highway"":""traffic_signals""}"
berlin;traffic_signals;530283;52.575825;13.347975;"{""highway"":""traffic_signals""}"
berlin;traffic_signals;530309;52.575855;13.347778;"{""highway"":""traffic_signals""}"
berlin;traffic_signals;530311;52.574409;13.347708;"{""highway"":""traffic_signals""}"
berlin;traffic_signals;530312;52.567451;13.351410;"{""highway"":""traffic_signals""}"
berlin;traffic_signals;530319;52.566902;13.316476;"{""highway"":""traffic_signals""}"
berlin;traffic_signals;530340;52.567417;13.351152;"{""highway"":""traffic_signals""}"
berlin;traffic_signals;530351;52.562531;13.330466;"{""highway"":""traffic_signals""}"
berlin;traffic_signals;12614600;52.526524;13.447766;"{""highway"":""traffic_signals""}"
berlin;traffic_signals;12614606;52.512932;13.481661;"{""highway"":""traffic_signals""}"
berlin;traffic_signals;12614635;52.513462;13.518849;"{""highway"":""traffic_signals""}"
berlin;traffic_signals;12614644;52.537533;13.428706;"{""highway"":""traffic_signals""}"
berlin;traffic_signals;12614668;52.513458;13.519186;"{""highway"":""traffic_signals""}"
berlin;traffic_signals;12614681;52.534275;13.437370;"{""highway"":""traffic_signals""}"
berlin;traffic_signals;12614683;52.513447;13.476859;"{""highway"":""traffic_signals""}"
