town;type;key;lat;lon;tags
berlin;toilet;29040668;52.525005;13.335496;"{""name"":""City Toilette"",""wheelchair"":""yes"",""fee"":""yes""}"
berlin;toilet;36310181;52.550682;13.334696;[]
berlin;toilet;60240150;52.518494;13.406313;"{""wheelchair"":""yes""}"
berlin;toilet;66917214;52.516846;13.382957;"{""name"":""City Toilette"",""wheelchair"":""yes"",""fee"":""yes""}"
berlin;toilet;68437796;52.489113;13.450987;[]
berlin;toilet;71180687;52.517624;13.374006;"{""name"":""\u00d6ffentliche Toilette"",""wheelchair"":""yes"",""fee"":""0.50 \u20ac""}"
berlin;toilet;76464669;52.482880;13.326294;"{""name"":""\u00d6ffentliche Toiletten"",""wheelchair"":""no""}"
berlin;toilet;76465610;52.563938;13.326712;"{""name"":""City Toilette"",""wheelchair"":""yes"",""operator"":""Wall AG"",""fee"":""yes""}"
berlin;toilet;78252191;52.522049;13.400430;"{""name"":""City Toilette"",""wheelchair"":""yes"",""operator"":""Wall AG"",""fee"":""yes""}"
berlin;toilet;81362621;52.509659;13.272672;"{""name"":""\u00d6ffentliche Toiletten"",""wheelchair"":""no""}"
berlin;toilet;86001818;52.514713;13.392784;"{""name"":""Historische Toilette (Caf\u00e9 Achteck)"",""wheelchair"":""no"",""fee"":""no""}"
berlin;toilet;88456311;52.447598;13.229318;"{""wheelchair"":""no""}"
berlin;toilet;97876682;52.635666;13.494711;"{""name"":""City Toilette"",""wheelchair"":""yes"",""operator"":""Wall AG"",""fee"":""yes"",""opening_hours"":""24\/7""}"
berlin;toilet;151012608;52.527950;13.538041;"{""name"":""City Toilette"",""wheelchair"":""yes"",""operator"":""Wall AG"",""fee"":""yes""}"
berlin;toilet;151012639;52.513420;13.554916;"{""name"":""City Toilette"",""wheelchair"":""yes"",""operator"":""Wall AG"",""fee"":""yes""}"
berlin;toilet;216261158;52.528980;13.378122;"{""name"":""City Toilette"",""wheelchair"":""yes"",""fee"":""yes""}"
berlin;toilet;245287540;52.512703;13.413565;"{""name"":""City Toilette"",""wheelchair"":""yes"",""operator"":""Wall AG"",""fee"":""yes"",""opening_hours"":""24\/7""}"
berlin;toilet;253775733;52.439541;13.177282;[]
berlin;toilet;253775734;52.437317;13.177346;[]
berlin;toilet;253775735;52.440594;13.177316;[]
berlin;toilet;254863962;52.470295;13.464116;"{""name"":""City Toilette"",""wheelchair"":""yes"",""operator"":""Wall AG"",""fee"":""yes""}"
berlin;toilet;257372882;52.487473;13.464385;"{""name"":""City Toilette"",""wheelchair"":""yes"",""operator"":""Wall AG"",""fee"":""yes""}"
berlin;toilet;257380124;52.492012;13.478242;"{""wheelchair"":""yes""}"
berlin;toilet;258411014;52.479050;13.328337;"{""name"":""City Toilette"",""wheelchair"":""yes"",""operator"":""Wall AG"",""fee"":""yes""}"
berlin;toilet;258604531;52.481106;13.363352;"{""name"":""Historische Toilette (Caf\u00e9 Achteck)"",""wheelchair"":""no""}"
berlin;toilet;258889664;52.570076;13.565886;"{""name"":""City Toilette"",""wheelchair"":""yes"",""operator"":""Wall AG"",""fee"":""yes""}"
berlin;toilet;259606829;52.541481;13.205663;"{""name"":""City Toilette"",""wheelchair"":""yes""}"
berlin;toilet;259606898;52.538380;13.201164;"{""name"":""City Toilette"",""wheelchair"":""yes"",""operator"":""Wall AG"",""fee"":""yes""}"
berlin;toilet;259983109;52.484306;13.352755;"{""name"":""City Toilette"",""wheelchair"":""yes"",""operator"":""Wall AG"",""fee"":""yes""}"
berlin;toilet;261606216;52.523487;13.432912;"{""name"":""City Toilette"",""wheelchair"":""yes"",""operator"":""Wall AG"",""fee"":""yes"",""opening_hours"":""24\/7""}"
berlin;toilet;261745933;52.544716;13.390661;"{""name"":""City Toilette"",""wheelchair"":""yes"",""operator"":""Wall AG"",""fee"":""yes"",""opening_hours"":""24\/7""}"
berlin;toilet;264964211;52.529373;13.591378;"{""name"":""City Toilette"",""wheelchair"":""yes"",""operator"":""Wall AG"",""fee"":""yes""}"
berlin;toilet;268981842;52.495853;13.419761;"{""name"":""City Toilette"",""wheelchair"":""yes"",""operator"":""Wall AG"",""fee"":""yes""}"
berlin;toilet;270161514;52.495064;13.439161;"{""wheelchair"":""yes"",""fee"":""yes""}"
berlin;toilet;271938947;52.430531;13.121762;"{""wheelchair"":""yes""}"
berlin;toilet;276795709;52.433987;13.423039;[]
berlin;toilet;276899653;52.548214;13.451460;"{""name"":""City Toilette"",""wheelchair"":""yes"",""operator"":""Wall AG"",""fee"":""yes""}"
berlin;toilet;278139236;52.536888;13.205014;"{""name"":""\u00d6ffentliche Toilette"",""wheelchair"":""yes""}"
berlin;toilet;280441806;52.438980;13.343104;"{""name"":""City Toilette"",""wheelchair"":""yes""}"
berlin;toilet;286472700;52.423904;13.216314;[]
