town;type;key;lat;lon;tags
london;atm;26610812;51.538853;-0.142181;"{""name"":""NatWest"",""amenity"":""bank""}"
london;atm;37552361;51.358025;-0.216253;"{""name"":""Santander"",""amenity"":""bank""}"
london;atm;37552364;51.357849;-0.216658;"{""name"":""Lloyds TSB"",""amenity"":""bank""}"
london;atm;45265824;51.607349;0.219641;"{""name"":""NatWest"",""amenity"":""bank""}"
london;atm;60660465;51.522987;-0.125750;"{""name"":""HSBC"",""wheelchair"":""yes"",""amenity"":""bank""}"
london;atm;77920686;51.522102;-0.124665;"{""name"":""Barclays"",""amenity"":""bank""}"
london;atm;130116003;51.499161;-0.130710;"{""name"":""HSBC"",""wheelchair"":""limited"",""amenity"":""bank""}"
london;atm;130116214;51.498039;-0.134952;"{""name"":""Lloyds TSB"",""amenity"":""bank""}"
london;atm;246112128;51.462227;-0.137577;"{""name"":""Barclays"",""amenity"":""bank""}"
london;atm;249249799;51.617542;-0.311961;"{""name"":""Lloyds TSB"",""amenity"":""bank""}"
london;atm;249674177;51.633163;0.008255;"{""name"":""Chingford Station Road Post Office"",""amenity"":""post_office""}"
london;atm;254924507;51.519016;-0.133076;"{""name"":""NatWest"",""amenity"":""bank""}"
london;atm;255396267;51.514641;-0.098229;"{""name"":""RBS"",""amenity"":""bank""}"
london;atm;256141206;51.604305;-0.339894;"{""amenity"":""bank""}"
london;atm;263018281;51.561897;-0.073812;"{""name"":""Halifax"",""amenity"":""bank""}"
london;atm;263018282;51.561123;-0.073729;"{""name"":""HSBC"",""amenity"":""bank""}"
london;atm;263905051;51.573105;-0.072108;"{""name"":""Barclays"",""amenity"":""bank""}"
london;atm;266890504;51.378933;-0.242485;"{""name"":""Nationwide Building Society"",""amenity"":""bank""}"
london;atm;266902540;51.385830;-0.211702;"{""name"":""Barclays"",""amenity"":""bank""}"
london;atm;271388951;51.496124;-0.142750;"{""name"":""HSBC"",""amenity"":""bank""}"
london;atm;273217496;51.496902;-0.135599;"{""name"":""Barclays"",""amenity"":""bank""}"
london;atm;273542290;51.462090;-0.115524;"{""name"":""Santander"",""amenity"":""bank""}"
london;atm;273542291;51.461567;-0.115745;"{""name"":""HSBC"",""amenity"":""bank""}"
london;atm;275726796;51.492489;-0.137906;"{""name"":""Barclays"",""amenity"":""bank""}"
london;atm;277834912;51.361198;-0.192185;"{""name"":""Barclays"",""amenity"":""bank""}"
london;atm;277834922;51.361404;-0.192432;"{""name"":""Lloyds TSB"",""amenity"":""bank""}"
london;atm;279104433;51.527073;-0.059707;"{""name"":""NatWest"",""amenity"":""bank""}"
london;atm;280380043;51.462193;-0.302948;"{""name"":""Halifax"",""amenity"":""bank""}"
london;atm;280380045;51.462383;-0.302849;"{""name"":""Lloyds TSB"",""amenity"":""bank""}"
london;atm;280380052;51.462975;-0.302445;"{""name"":""The Royal Bank of Scotland"",""amenity"":""bank""}"
london;atm;280546700;51.512623;-0.078472;"{""name"":""Lloyds TSB"",""amenity"":""bank""}"
london;atm;280546902;51.511696;-0.081985;"{""name"":""Nationwide"",""amenity"":""bank""}"
london;atm;280547868;51.512157;-0.080360;"{""name"":""NatWest"",""amenity"":""bank""}"
london;atm;280547869;51.512257;-0.080059;"{""name"":""Barclays"",""amenity"":""bank""}"
london;atm;280547870;51.512047;-0.079483;"{""name"":""HSBC"",""amenity"":""bank""}"
