town;type;key;lat;lon;tags
london;radar;196625;51.577152;-0.217809;[]
london;radar;196638;51.577011;-0.217721;[]
london;radar;432745;51.459267;0.035962;[]
london;radar;186369758;51.547256;-0.095812;"{""maxspeed"":""30 mph""}"
london;radar;194007503;51.381428;-0.195774;[]
london;radar;206094898;51.374531;-0.300762;[]
london;radar;206094899;51.389805;-0.266789;[]
london;radar;264803287;51.487186;-0.107141;[]
london;radar;266385250;51.487347;-0.016221;"{""note"":""Gatso - Taking pictures of West Bound cards""}"
london;radar;276369810;51.540627;-0.117030;[]
london;radar;295709723;51.487858;-0.106478;[]
london;radar;305410622;51.549435;-0.281034;"{""note"":""Speed Camera Looking North West Max Speed 30mph""}"
london;radar;344786621;51.560814;-0.113950;[]
london;radar;345868866;51.488632;-0.123235;[]
london;radar;381948201;51.578793;-0.223271;[]
london;radar;421958189;51.453007;0.099550;[]
london;radar;421958194;51.453407;0.098424;[]
london;radar;421958197;51.455746;0.088253;[]
london;radar;421958200;51.458057;0.072836;[]
london;radar;421965982;51.515240;-0.008741;[]
london;radar;421965984;51.520756;-0.010535;[]
london;radar;421965985;51.521187;-0.010424;[]
london;radar;421968028;51.495186;0.004297;[]
london;radar;421968205;51.472809;0.025918;[]
london;radar;421968208;51.476608;0.023427;[]
london;radar;421968747;51.445671;0.157935;[]
london;radar;421968752;51.448444;0.147248;[]
london;radar;421968756;51.448269;0.129617;[]
london;radar;421968759;51.449303;0.120310;[]
london;radar;441984191;51.510235;-0.116721;[]
london;radar;443424318;51.492336;-0.125271;[]
london;radar;477286838;51.538212;-0.070254;[]
london;radar;479019415;51.525669;-0.111544;[]
london;radar;479575805;51.529133;-0.094996;[]
london;radar;506310017;51.491489;-0.135684;[]
london;radar;513552883;51.457233;-0.441340;[]
london;radar;567763225;51.496445;-0.282136;[]
london;radar;623993693;51.456066;-0.063967;[]
london;radar;623993696;51.456055;-0.064033;[]
london;radar;648398357;51.513878;-0.249449;"{""name"":""Red Light Camera""}"
london;radar;1275821199;51.494999;-0.330305;[]
london;radar;1275821200;51.492687;-0.324719;[]
london;radar;1284220434;51.487659;-0.130262;[]
london;radar;1345629640;51.532860;-0.317501;[]
london;radar;1419576580;51.557297;-0.464033;[]
london;radar;1484886508;51.456280;-0.219137;[]
london;radar;1590088452;51.509232;-0.083970;[]
london;radar;1590114998;51.509163;-0.082764;[]
london;radar;1675124019;51.494053;-0.087862;[]
london;radar;1678581664;51.548012;-0.407057;[]
london;radar;1713315564;51.504135;-0.219541;[]
london;radar;1769061868;51.492561;-0.285514;[]
london;radar;1794145898;51.531296;-0.135161;"{""direction"":""south""}"
london;radar;1852996948;51.510986;-0.095612;[]
london;radar;1938390461;51.492981;0.055723;[]
london;radar;2097687309;51.569511;-0.137198;[]
london;radar;2097687311;51.569469;-0.137334;[]
london;radar;2140822154;51.515255;-0.008568;[]
london;radar;2198821405;51.496223;-0.025811;[]
london;radar;2204101340;51.569016;-0.094633;[]
london;radar;2204117303;51.561356;-0.091716;[]
london;radar;2247287185;51.494118;-0.088214;[]
london;radar;2255492573;51.491390;-0.294132;[]
