town;type;key;lat;lon;tags
london;traffic_signals;99937;51.522987;-0.152452;"{""highway"":""traffic_signals""}"
london;traffic_signals;101831;51.535618;-0.147046;"{""crossing"":""traffic_signals"",""highway"":""crossing""}"
london;traffic_signals;101839;51.537510;-0.152659;"{""highway"":""traffic_signals""}"
london;traffic_signals;101843;51.534904;-0.163649;"{""highway"":""traffic_signals""}"
london;traffic_signals;101877;51.528675;-0.163558;"{""highway"":""traffic_signals""}"
london;traffic_signals;101884;51.530029;-0.169045;"{""highway"":""traffic_signals""}"
london;traffic_signals;101889;51.536339;-0.176327;"{""crossing"":""traffic_signals"",""highway"":""crossing""}"
london;traffic_signals;101894;51.543419;-0.175114;"{""crossing"":""traffic_signals"",""highway"":""crossing""}"
london;traffic_signals;101918;51.559460;-0.196930;"{""highway"":""traffic_signals""}"
london;traffic_signals;101977;51.545708;-0.155847;"{""highway"":""traffic_signals""}"
london;traffic_signals;101990;51.520565;-0.147699;"{""highway"":""traffic_signals""}"
london;traffic_signals;101991;51.521652;-0.148189;"{""highway"":""traffic_signals""}"
london;traffic_signals;101992;51.521397;-0.149695;"{""highway"":""traffic_signals""}"
london;traffic_signals;101993;51.520317;-0.149225;"{""highway"":""traffic_signals""}"
london;traffic_signals;101997;51.519077;-0.148681;"{""highway"":""traffic_signals""}"
london;traffic_signals;101998;51.519348;-0.147141;"{""highway"":""traffic_signals""}"
london;traffic_signals;101999;51.519737;-0.144923;"{""highway"":""traffic_signals""}"
london;traffic_signals;102000;51.520103;-0.142736;"{""highway"":""traffic_signals""}"
london;traffic_signals;102020;51.517433;-0.155406;"{""highway"":""traffic_signals""}"
london;traffic_signals;102025;51.519451;-0.156314;"{""highway"":""traffic_signals""}"
london;traffic_signals;102030;51.517067;-0.157572;"{""highway"":""traffic_signals""}"
london;traffic_signals;102031;51.519917;-0.158806;"{""highway"":""traffic_signals""}"
london;traffic_signals;102035;51.515270;-0.161352;"{""highway"":""traffic_signals""}"
london;traffic_signals;102037;51.516369;-0.161775;"{""highway"":""traffic_signals""}"
london;traffic_signals;102038;51.515862;-0.164110;"{""highway"":""traffic_signals""}"
