town;type;key;lat;lon;tags
london;toilet;3210226;51.601555;-0.193111;"{""note"":""An automated single toilet cubicle, no fee is charged unlike many\/most toilets of this type"",""fee"":""no""}"
london;toilet;20849686;51.408733;-0.332375;[]
london;toilet;20910215;51.405575;-0.336138;[]
london;toilet;25475748;51.523392;-0.119408;"{""note"":""currently closed""}"
london;toilet;25534499;51.494755;-0.132234;[]
london;toilet;26049416;51.451286;0.052013;[]
london;toilet;26819225;51.516178;-0.187353;"{""note"":""Automatic""}"
london;toilet;26819248;51.515942;-0.188494;[]
london;toilet;30442251;51.474945;-0.300530;"{""wheelchair"":""yes""}"
london;toilet;30442336;51.472847;-0.292996;"{""wheelchair"":""yes""}"
london;toilet;30581735;51.481567;-0.297854;"{""wheelchair"":""yes""}"
london;toilet;33378270;51.452400;-0.109991;[]
london;toilet;36446497;51.519840;0.254499;[]
london;toilet;48181882;51.526691;-0.061778;"{""fee"":""yes""}"
london;toilet;53447471;51.541222;-0.059206;[]
london;toilet;54070004;51.559456;-0.151891;[]
london;toilet;60460567;51.474270;-0.092830;[]
london;toilet;60660471;51.525990;-0.125841;[]
london;toilet;207145549;51.478279;-0.290668;"{""wheelchair"":""yes""}"
london;toilet;235424107;51.504936;-0.159624;[]
london;toilet;239713872;51.512825;-0.160470;[]
london;toilet;243834668;51.490482;-0.351551;[]
london;toilet;246852982;51.532310;-0.029050;[]
london;toilet;247049800;51.481472;-0.092241;[]
london;toilet;247324371;51.510136;-0.187012;[]
london;toilet;249679374;51.516460;-0.076907;"{""note"":""Automated single person sanisette toilet"",""fee"":""yes""}"
london;toilet;252934371;51.536240;-0.102470;[]
london;toilet;253100929;51.469879;-0.358254;[]
london;toilet;253369110;51.366161;-0.160282;[]
london;toilet;255396286;51.514297;-0.056268;[]
london;toilet;255684945;51.514221;-0.201214;[]
london;toilet;257422992;51.517605;-0.118628;[]
london;toilet;262362381;51.511894;-0.027648;[]
london;toilet;262443427;51.561325;-0.086498;[]
london;toilet;262903620;51.494484;0.064351;[]
london;toilet;265106459;51.520512;-0.153753;[]
london;toilet;265255765;51.510601;-0.289129;[]
london;toilet;266819600;51.496841;-0.214747;"{""note"":""Automated toilets"",""fee"":""no""}"
london;toilet;267188423;51.631992;-0.175596;[]
london;toilet;269060964;51.357037;-0.191760;[]
london;toilet;269890771;51.495014;-0.054979;[]
london;toilet;270691871;51.428185;-0.168466;[]
london;toilet;270713159;51.498734;-0.199385;[]
london;toilet;270748491;51.543369;-0.323572;[]
london;toilet;271387568;51.492111;-0.138488;[]
london;toilet;272018703;51.512196;-0.348371;[]
london;toilet;273460550;51.448868;-0.106757;[]
london;toilet;280885803;51.468277;-0.066871;[]
london;toilet;281578660;51.533482;-0.049570;"{""fee"":""yes""}"
london;toilet;281580306;51.448616;-0.106439;[]
london;toilet;281580386;51.449505;-0.108791;[]
london;toilet;281620329;51.478069;-0.024950;"{""wheelchair"":""yes""}"
london;toilet;281841123;51.457001;-0.145741;[]
london;toilet;281851493;51.525669;-0.153889;[]
london;toilet;281851835;51.528809;-0.149113;[]
london;toilet;281852211;51.529644;-0.161104;[]
london;toilet;282116692;51.479851;-0.159388;[]
london;toilet;282569729;51.513206;-0.113371;[]
london;toilet;283162497;51.527920;0.004981;[]
london;toilet;283833564;51.442913;-0.153114;[]
london;toilet;286480244;51.445133;-0.151518;[]
london;toilet;288562205;51.496017;-0.263700;[]
london;toilet;288980690;51.502968;-0.280304;"{""note"":""Pay, Men only"",""fee"":""yes""}"
london;toilet;288980719;51.508465;-0.275507;"{""note"":""Outside Redback, Streetside""}"
london;toilet;290985718;51.480892;-0.007837;"{""wheelchair"":""no""}"
london;toilet;291647639;51.421967;-0.119540;[]
london;toilet;291667176;51.382294;-0.069166;[]
london;toilet;293389189;51.537224;-0.157447;[]
london;toilet;297165854;51.463886;-0.093878;[]
london;toilet;297357795;51.465160;-0.090952;[]
london;toilet;297701210;51.613174;-0.158302;[]
london;toilet;298007677;51.421837;-0.366812;"{""name"":""Accesible"",""wheelchair"":""yes""}"
london;toilet;298288065;51.392323;-0.304565;[]
london;toilet;298299046;51.511337;-0.175716;[]
london;toilet;298850997;51.471153;-0.222335;[]
london;toilet;300334711;51.499908;-0.129384;"{""fee"":""yes""}"
london;toilet;301017077;51.531616;-0.170314;[]
london;toilet;302410564;51.523594;-0.170258;[]
london;toilet;303798311;51.475170;-0.336621;"{""note"":""tin can style""}"
london;toilet;304689836;51.553612;-0.296272;[]
london;toilet;312671223;51.475136;-0.038744;[]
london;toilet;317160679;51.490685;-0.152865;[]
london;toilet;321223692;51.568100;-0.185009;[]
london;toilet;321311369;51.483437;-0.264790;"{""opening_hours"":""rarely open""}"
london;toilet;323205649;51.553364;-0.294804;[]
london;toilet;323990551;51.530014;-0.293083;"{""operator"":""TFL""}"
london;toilet;329105463;51.590782;-0.433162;[]
london;toilet;331275122;51.564186;-0.173586;[]
london;toilet;331289045;51.571587;-0.166981;[]
london;toilet;331922282;51.572018;-0.193912;[]
london;toilet;332492772;51.405029;-0.337708;[]
london;toilet;332925681;51.569263;-0.143609;[]
london;toilet;333257433;51.541256;0.045924;[]
london;toilet;333300005;51.652622;-0.086359;[]
london;toilet;333774743;51.556091;-0.117500;"{""note"":""No idea if they are still working...""}"
london;toilet;336369392;51.555027;-0.110223;[]
london;toilet;338472531;51.517998;-0.110043;[]
london;toilet;339312700;51.573612;-0.184683;[]
london;toilet;339925126;51.508205;-0.128554;"{""wheelchair"":""yes""}"
london;toilet;341229285;51.496780;-0.141643;[]
london;toilet;343588115;51.565090;-0.104216;[]
london;toilet;344521109;51.503502;-0.113190;[]
london;toilet;345396854;51.503292;-0.135897;[]
london;toilet;345397964;51.364422;-0.191795;[]
london;toilet;346352276;51.504684;-0.130020;[]
london;toilet;348814978;51.510773;-0.129764;[]
london;toilet;350409063;51.510872;-0.085805;"{""note"":""Accessed via steps in traffic island""}"
london;toilet;353890734;51.437695;-0.231882;[]
london;toilet;359721951;51.533413;-0.042678;"{""name"":""Victoria Park Pavilion"",""wheelchair"":""limited"",""fee"":""no""}"
london;toilet;364346000;51.461163;-0.202350;[]
london;toilet;366238452;51.619160;-0.162190;[]
london;toilet;367015951;51.466736;0.069617;[]
london;toilet;369007992;51.386070;-0.290256;[]
london;toilet;370192075;51.432156;-0.291935;[]
london;toilet;370192623;51.442699;-0.293523;[]
london;toilet;370261548;51.445297;-0.078665;"{""fee"":""no""}"
london;toilet;380494795;51.515633;-0.132367;[]
london;toilet;386703361;51.452930;-0.221171;"{""wheelchair"":""yes"",""fee"":""yes""}"
london;toilet;389681906;51.527851;-0.152611;[]
london;toilet;389688170;51.532604;-0.157813;[]
london;toilet;409627541;51.420460;-0.286651;[]
london;toilet;409646988;51.436272;-0.256557;[]
london;toilet;414239364;51.625282;-0.282868;[]
london;toilet;415291323;51.504631;-0.084349;[]
london;toilet;415291324;51.504681;-0.084118;[]
london;toilet;420369792;51.406731;0.011430;"{""name"":""The Hill Bromley Public Toilets"",""fee"":""no""}"
london;toilet;430403334;51.525795;-0.035353;[]
london;toilet;438170659;51.514019;-0.126053;[]
london;toilet;441958987;51.513367;-0.096802;[]
london;toilet;443418088;51.532467;-0.032881;"{""fee"":""yes""}"
london;toilet;443939741;51.545471;-0.056100;"{""wheelchair"":""yes""}"
london;toilet;452433524;51.521938;-0.110020;"{""wheelchair"":""yes"",""fee"":""yes"",""opening_hours"":""24\/7""}"
london;toilet;452484690;51.511490;-0.123314;"{""fee"":""no""}"
london;toilet;453435240;51.319351;0.073260;[]
london;toilet;454200833;51.339062;0.028978;[]
london;toilet;454212874;51.507252;-0.143572;[]
london;toilet;459678291;51.594498;0.235683;[]
london;toilet;461686710;51.353176;0.089500;[]
london;toilet;462008328;51.529594;-0.097322;"{""wheelchair"":""yes"",""fee"":""yes""}"
london;toilet;469136361;51.547668;-0.054466;"{""note"":""20p"",""fee"":""yes""}"
london;toilet;477366640;51.483459;-0.009582;"{""fee"":""yes""}"
london;toilet;477530711;51.437584;0.071883;[]
london;toilet;479029658;51.546333;-0.075893;"{""name"":""Toilet"",""wheelchair"":""limited"",""fee"":""yes""}"
london;toilet;482704445;51.489491;0.045170;[]
london;toilet;491410750;51.452274;0.179537;[]
london;toilet;496275979;51.504478;-0.084557;[]
london;toilet;497379966;51.521297;-0.181149;[]
london;toilet;499350869;51.513641;-0.135737;[]
london;toilet;511645366;51.524387;-0.201420;[]
london;toilet;539063877;51.613529;0.131870;[]
london;toilet;541172777;51.574810;-0.370190;[]
london;toilet;553308759;51.517677;-0.081602;"{""fee"":""yes""}"
london;toilet;560712757;51.501122;-0.138128;"{""note"":""children only""}"
london;toilet;563313189;51.399925;-0.020205;[]
london;toilet;564744078;51.480034;-0.178129;[]
london;toilet;565576656;51.483414;-0.009720;[]
london;toilet;566313868;51.511711;-0.121707;[]
london;toilet;567239700;51.403206;0.014305;[]
london;toilet;568113185;51.392990;0.112597;[]
london;toilet;568113602;51.392159;0.114461;[]
london;toilet;573320909;51.508102;-0.124580;[]
london;toilet;573320912;51.508217;-0.124714;[]
london;toilet;581142801;51.579994;-0.150482;[]
london;toilet;581143053;51.582420;-0.149956;[]
london;toilet;588130427;51.500828;-0.113284;[]
london;toilet;588175347;51.507511;-0.121810;"{""name"":""Embankment Toilets"",""fee"":""yes""}"
london;toilet;595709484;51.523663;-0.143843;[]
london;toilet;596763309;51.508923;-0.125948;[]
london;toilet;639141976;51.518322;-0.206943;"{""name"":""Pay toilet accessable"",""wheelchair"":""yes"",""fee"":""yes""}"
london;toilet;646762510;51.417469;-0.082388;[]
london;toilet;654083991;51.547321;-0.072452;[]
london;toilet;662427640;51.472008;-0.217745;"{""wheelchair"":""yes""}"
london;toilet;666920937;51.513935;-0.075004;"{""note"":""An automated Sanisette superloo"",""fee"":""yes""}"
london;toilet;679121842;51.484314;-0.257905;"{""name"":""Cafe Lavatories""}"
london;toilet;688694871;51.553288;-0.286044;[]
london;toilet;694510919;51.508766;-0.078752;"{""fee"":""yes""}"
london;toilet;700357918;51.388466;0.023262;[]
london;toilet;703330322;51.479130;-0.290166;"{""wheelchair"":""yes""}"
london;toilet;703499479;51.483425;-0.292917;"{""wheelchair"":""yes""}"
london;toilet;703499480;51.482635;-0.295586;"{""wheelchair"":""yes""}"
london;toilet;703499481;51.483906;-0.294083;"{""wheelchair"":""yes""}"
london;toilet;703499482;51.473194;-0.294377;"{""wheelchair"":""yes""}"
london;toilet;704892236;51.512592;-0.114881;[]
london;toilet;705074466;51.462963;-0.112772;[]
london;toilet;706106376;51.531677;-0.123858;"{""wheelchair"":""no"",""fee"":""yes""}"
london;toilet;727674425;51.563931;-0.443680;"{""fee"":""yes""}"
london;toilet;727674428;51.569763;-0.437805;"{""wheelchair"":""no"",""operator"":""TfL"",""fee"":""no"",""opening_hours"":""6:30-00:00""}"
london;toilet;736819740;51.481911;-0.155957;"{""wheelchair"":""yes""}"
london;toilet;739680914;51.509457;-0.084506;[]
london;toilet;747813217;51.514313;-0.099343;[]
london;toilet;751735279;51.510380;-0.117747;[]
london;toilet;771818199;51.481331;-0.198368;[]
london;toilet;780114296;51.452053;-0.254585;"{""fee"":""no""}"
london;toilet;793236444;51.436264;-0.204120;[]
london;toilet;798908359;51.494133;-0.099223;[]
london;toilet;804289634;51.566570;-0.189173;[]
london;toilet;804358498;51.565971;-0.157235;[]
london;toilet;815734786;51.554314;-0.165032;[]
london;toilet;819828632;51.501606;0.033694;"{""wheelchair"":""yes""}"
london;toilet;845373758;51.489052;-0.134078;"{""wheelchair"":""yes""}"
london;toilet;852122499;51.522320;-0.155658;"{""note"":""Gentlemen Only"",""operator"":""City of Westminster""}"
london;toilet;866383916;51.509804;-0.131136;[]
london;toilet;871153883;51.656506;-0.149665;[]
london;toilet;882397790;51.497444;-0.081505;[]
london;toilet;885335037;51.651894;-0.084297;[]
london;toilet;885392904;51.491619;-0.415274;"{""wheelchair"":""yes"",""fee"":""no""}"
london;toilet;888429921;51.569584;0.129537;[]
london;toilet;899437167;51.521210;-0.184136;[]
london;toilet;908396274;51.533291;-0.218736;[]
london;toilet;918721618;51.504837;-0.086416;[]
london;toilet;919741103;51.501446;-0.203259;"{""wheelchair"":""yes""}"
london;toilet;929322934;51.452396;-0.359003;"{""operator"":""Community Toilet Scheme""}"
london;toilet;931630612;51.541965;-0.144599;"{""note"":""inc disabled"",""wheelchair"":""yes""}"
london;toilet;935555307;51.559620;-0.250819;"{""note"":""Fee: 10p"",""fee"":""yes""}"
london;toilet;936473044;51.505978;-0.091156;[]
london;toilet;944197035;51.669956;-0.068902;[]
london;toilet;1088333795;51.504490;-0.078594;"{""wheelchair"":""no"",""operator"":""More London"",""fee"":""no""}"
london;toilet;1090774423;51.486237;-0.123477;"{""name"":""Vauxhall station forecourt"",""note"":""Urinal."",""wheelchair"":""no""}"
london;toilet;1098162013;51.501534;-0.306615;[]
london;toilet;1102236526;51.504852;-0.082782;"{""wheelchair"":""yes"",""operator"":""More London"",""fee"":""no""}"
london;toilet;1115390365;51.507244;-0.143535;[]
london;toilet;1117274840;51.513100;-0.302513;[]
london;toilet;1117274887;51.514912;-0.301470;[]
london;toilet;1133624650;51.533424;-0.204430;[]
london;toilet;1145191859;51.518429;-0.100640;"{""wheelchair"":""no""}"
london;toilet;1174213694;51.472832;-0.105662;[]
london;toilet;1186119761;51.437443;-0.116180;[]
london;toilet;1207087355;51.493908;-0.174390;[]
london;toilet;1226107944;51.579140;-0.337111;"{""wheelchair"":""no"",""operator"":""Transport for London"",""fee"":""no""}"
london;toilet;1226108166;51.579189;-0.337302;"{""wheelchair"":""no"",""operator"":""Transport for London"",""fee"":""no""}"
london;toilet;1242549284;51.551830;-0.141220;[]
london;toilet;1255801499;51.570099;-0.125146;[]
london;toilet;1279780460;51.457104;0.146172;[]
london;toilet;1295894918;51.418255;-0.171661;[]
london;toilet;1296405857;51.632912;0.009606;[]
london;toilet;1296610762;51.511974;-0.224469;[]
london;toilet;1296653744;51.463348;-0.170081;"{""fee"":""yes""}"
london;toilet;1304102792;51.567257;-0.199313;[]
london;toilet;1306552273;51.504654;-0.169968;"{""wheelchair"":""yes"",""fee"":""no""}"
london;toilet;1313266175;51.540394;-0.375823;[]
london;toilet;1313267412;51.467251;-0.422925;[]
london;toilet;1313535473;51.556786;-0.281488;[]
london;toilet;1320893735;51.510860;-0.100460;"{""name"":""Paul\u0027s Walk"",""fee"":""yes""}"
london;toilet;1320895538;51.510872;-0.105144;"{""name"":""Blackfriars Millennium Pier""}"
london;toilet;1321888834;51.541733;-0.000516;"{""fee"":""yes""}"
london;toilet;1333739507;51.478577;-0.290582;"{""wheelchair"":""yes"",""fee"":""no""}"
london;toilet;1361990617;51.431950;-0.212896;[]
london;toilet;1364665481;51.457890;0.116490;[]
london;toilet;1372372846;51.606186;-0.186038;[]
