town;type;key;lat;lon;tags
paris;atm;27415802;48.883286;2.302207;"{""name"":""Paris 17 Wagram"",""note"":""situation : 108 AVENUE DE WAGRAM"",""amenity"":""post_office""}"
paris;atm;29434739;48.855461;2.306825;"{""name"":""Paris \u00c9cole Militaire"",""amenity"":""post_office""}"
paris;atm;60769229;48.895027;2.344757;"{""name"":""La Poste Paris Duhesme"",""amenity"":""post_office""}"
paris;atm;159959656;48.845619;2.305137;"{""name"":""Paris Fran\u00e7ois Bonvin"",""wheelchair"":""yes"",""amenity"":""post_office""}"
paris;atm;207782744;48.867306;2.345888;"{""name"":""Paris Sentier"",""amenity"":""post_office""}"
paris;atm;213197163;48.870285;2.350896;"{""name"":""Paris Bonne Nouvelle"",""note"":""situation : 18 BOULEVARD DE BONNE NOUVELLE"",""amenity"":""post_office""}"
paris;atm;243066043;48.827808;2.279868;"{""name"":""Issy-les-Moulineaux Corentin Celton"",""amenity"":""post_office""}"
paris;atm;247757325;48.836353;2.353672;"{""name"":""Poste Reine Blanche;Paris Reine Blanche \/austerlitz"",""note"":""situation : 21 RUE DE LA REINE BLANCHE"",""amenity"":""post_office""}"
paris;atm;248170531;48.852272;2.340637;"{""name"":""Paris Od\u00e9on \/ Beaux-Arts"",""amenity"":""post_office""}"
paris;atm;249560489;48.834648;2.317286;"{""name"":""Paris Pernety \/plaisance"",""note"":""situation : 52 RUE PERNETY"",""amenity"":""post_office""}"
paris;atm;249661318;48.831814;2.330759;"{""name"":""Paris Denfert Rochereau"",""note"":""situation : 15 B AVENUE DU GENERAL LECLERC"",""wheelchair"":""yes"",""amenity"":""post_office""}"
paris;atm;249881132;48.844536;2.324273;"{""name"":""Paris Littr\u00e9"",""amenity"":""post_office""}"
paris;atm;250229129;48.841431;2.306954;"{""name"":""Paris Volontaires \/ Fran\u00e7ois Bonvin"",""amenity"":""post_office""}"
paris;atm;251509876;48.835571;2.285967;"{""name"":""Paris Desnouettes"",""amenity"":""post_office""}"
paris;atm;251773325;48.847668;2.352743;"{""name"":""Paris Jussieu"",""note"":""situation : 30 B RUE DU CARDINAL LEMOINE"",""amenity"":""post_office""}"
paris;atm;251774784;48.846081;2.374245;"{""name"":""Paris Gare-de-Lyon"",""amenity"":""post_office""}"
paris;atm;251774919;48.843822;2.372902;"{""name"":""Paris Gamma"",""wheelchair"":""limited"",""amenity"":""post_office""}"
