town;type;key;lat;lon;tags
paris;radar;110077;48.810062;2.338525;"{""zipcode"":""94110"",""maxspeed"":""90"",""ref"":""A6a""}"
paris;radar;151739;48.821098;2.358970;"{""zipcode"":""75000"",""street"":""Avenue d\u0027Italie"",""maxspeed"":""50"",""milestone"":""133.135"",""name"":""Paris Avenue d\u0027Italie""}"
paris;radar;151744;48.879147;2.347469;"{""name"":""France, Paris, Paris 9e"",""zipcode"":""75009"",""street"":""Rue de Maubeuge"",""maxspeed"":""50""}"
paris;radar;151762;48.864586;2.305098;"{""name"":""France, Paris, Paris 1er"",""zipcode"":""75000"",""street"":""Cours Albert 1er"",""maxspeed"":""50""}"
paris;radar;151766;48.836792;2.378075;"{""zipcode"":""75000"",""street"":""Quai de Bercy"",""maxspeed"":""50""}"
paris;radar;151770;48.832367;2.280691;"{""zipcode"":""75000"",""street"":""Boulevard P\u00e9riph\u00e9rique Int\u00e9rieur"",""maxspeed"":""80"",""milestone"":""8.9""}"
paris;radar;151772;48.860863;2.413916;"{""zipcode"":""75000"",""street"":""Boulevard P\u00e9riph\u00e9rique Ext\u00e9rieur"",""maxspeed"":""80"",""milestone"":""30.3""}"
paris;radar;151779;48.885792;2.288091;"{""zipcode"":""75000"",""street"":""Boulevard P\u00e9riph\u00e9rique Int\u00e9rieur"",""maxspeed"":""80"",""milestone"":""17.3""}"
paris;radar;151784;48.896435;2.309722;"{""name"":""Radar fixe : Paris, Boulevard P\u00e9riph\u00e9rique Ext\u00e9rieur, km 19.3"",""zipcode"":""75000"",""street"":""Boulevard P\u00e9riph\u00e9rique Ext\u00e9rieur"",""maxspeed"":""80"",""milestone"":""19.3""}"
paris;radar;151794;48.889957;2.396155;"{""name"":""France,Paris,Paris-Pantin"",""zipcode"":""75000"",""street"":""Boulevard P\u00e9riph\u00e9rique Ext\u00e9rieur"",""maxspeed"":""80"",""milestone"":""26.6""}"
paris;radar;151796;48.823528;2.310022;"{""zipcode"":""75000"",""street"":""Boulevard P\u00e9riph\u00e9rique Ext\u00e9rieur"",""maxspeed"":""80"",""milestone"":""6.4""}"
paris;radar;151808;48.854305;2.254363;"{""zipcode"":""75000"",""street"":""Boulevard P\u00e9riph\u00e9rique Ext\u00e9rieur"",""maxspeed"":""80"",""milestone"":""12.950""}"
paris;radar;152678;48.890110;2.256416;"{""name"":""France, Hauts-de-Seine, Courbevoie"",""zipcode"":""92400"",""street"":""Quai du Pr\u00e9sident Paul Doumer"",""maxspeed"":""70"",""ref"":""D7"",""milestone"":""1.660""}"
paris;radar;153912;48.906498;2.290578;"{""name"":""Radar fixe : Ani\u00e8res-sur-Seine, Quai du Docteur Dervaux, km 1.0"",""zipcode"":""92600"",""street"":""Quai du Docteur Dervaux"",""maxspeed"":""70"",""ref"":""D7"",""milestone"":""1.0""}"
paris;radar;153945;48.887577;2.251517;"{""zipcode"":""92400"",""street"":""Tunnel de La D\u00e9fense"",""maxspeed"":""70""}"
paris;radar;153966;48.883415;2.264654;"{""zipcode"":""92200"",""street"":""Avenue Charles de Gaulle"",""maxspeed"":""70"",""ref"":""N13"",""milestone"":""7.6""}"
paris;radar;311554;48.882587;2.267542;"{""zipcode"":""92200"",""street"":""Avenue Charles de Gaulle"",""maxspeed"":""70"",""ref"":""N13""}"
paris;radar;537865;48.811131;2.337627;"{""zipcode"":""94110"",""maxspeed"":""70"",""ref"":""A6a"",""milestone"":""PK0+622""}"
paris;radar;1434657;48.821983;2.379609;"{""zipcode"":""75000"",""street"":""Boulevard P\u00e9riph\u00e9rique Int\u00e9rieur"",""maxspeed"":""80"",""name"":""Boulevard P\u00e9riph\u00e9rique Int\u00e9rieur""}"
paris;radar;1434727;48.853722;2.356439;"{""zipcode"":""75000"",""street"":""Quai de l\u0027H\u00f4tel de Ville"",""maxspeed"":""50""}"
paris;radar;1434737;48.865856;2.354000;"{""zipcode"":""75002"",""street"":""Rue R\u00e9aumur"",""maxspeed"":""50""}"
paris;radar;2242723;48.904594;2.393044;"{""zipcode"":""93300"",""street"":""Avenue Jean Jaur\u00e8s"",""maxspeed"":""50"",""ref"":""N2""}"
