town;type;key;lat;lon;tags
paris;wifi;c20398c0a2a45557efda4ec1b8eeaa56;48.886078;2.398179;"{""name"":""Square De La Marseillaise"",""note"":""1 Bis, Rue De La Marseillaise 75019 PARIS""}"
paris;wifi;4e2f38f69ec0e5dd527d7ac04eb390cd;48.866093;2.315647;"{""name"":""Musee Du Petit Palais"",""note"":""1, Avenue Dutuit 75008 PARIS""}"
paris;wifi;35994d0b654b7d5671d515aca6e1eb69;48.820637;2.401470;"{""name"":""Parc de Bercy"",""note"":""1, Cour Chamonard 75012 PARIS""}"
paris;wifi;7869adc70cc6fdf7c5223969bca7176f;48.880138;2.309137;"{""name"":""Parc Monceau"",""note"":""1, Place De La Republique Dominicaine 75008 PARIS""}"
paris;wifi;1a28522d2a63495563d2b1b0bed12195;48.832218;2.355559;"{""name"":""Mairie du 13E Arrondissement"",""note"":""1, Place D\u0027Italie 75013 PARIS""}"
paris;wifi;7e309ab7c89384dea7cbd99071431559;48.869972;2.420121;"{""name"":""Jardin Du Trocadero"",""note"":""1, Place Du Onze Novembre 1918 75016 PARIS""}"
paris;wifi;918d325c8b36d50cd9f3a31e142733ea;48.892429;2.344864;"{""name"":""Mairie du 18E Arrondissement"",""note"":""1, Place Jules Joffrin 75018 PARIS""}"
paris;wifi;d24f4d57739b484f5d3789cfbffb4c53;48.842564;2.388757;"{""name"":""Jardin De Reuilly"",""note"":""1, Rue Albinoni 75012 PARIS""}"
paris;wifi;e9eb19ac95bb117d5f39ee1e1ba6c9a6;48.876965;2.381169;"{""name"":""Parc des Buttes Chaumont (Bolivar)"",""note"":""1, Rue Botzaris 75019 PARIS""}"
paris;wifi;7778580a51029390df864cf7aef89e75;48.853443;2.359329;"{""name"":""Biblioth\u00e8que Forney"",""note"":""1, Rue Du Figuier 75004 PARIS""}"
paris;wifi;1890ef100d139efbdf550b2f05443663;48.873413;2.390992;"{""name"":""Maison des Associations Du 20eme"",""note"":""1, Rue Frederick Lemaitre 75020 PARIS""}"
paris;wifi;438f37eac766e57c6bec1bb91838129b;48.852398;2.360616;"{""name"":""Esplanade Des Invalides"",""note"":""1, Rue Paul 75007 PARIS""}"
paris;wifi;a2fb108f5d8241ea94f9800a4e6344bc;48.842297;2.295690;"{""name"":""Square Saint Lambert"",""note"":""1, Rue Theophraste Renaudot 75015 PARIS""}"
paris;wifi;b90317ffa9eaea6d1646b5e110c92a8e;48.855007;2.359258;"{""name"":""Atelier de Restauration Photographique"",""note"":""10, Rue De Fourcy 75004 PARIS""}"
paris;wifi;177d880beb90ca48ad76ddff45c0db49;48.863384;2.371819;"{""name"":""Jardin Bataclan"",""note"":""102, Boulevard Richard Lenoir 75011 PARIS""}"
paris;wifi;eec9364ab462d5921360bfd43215390b;48.833965;2.362836;"{""name"":""Square Gustave Mesureur"",""note"":""105, Rue Jeanne D\u0027Arc 75013 PARIS""}"
paris;wifi;e3e7b6445a7ba69abb4267ad8980866c;48.875610;2.356187;"{""name"":""Square Alban Satragne"",""note"":""107, Rue Du Faubourg Saint Denis 75010 PARIS""}"
paris;wifi;17910676b6ee701461fea3eb5cff75ab;48.864731;2.297114;"{""name"":""Musee D\u0027Art Moderne"",""note"":""11, Avenue Du President Wilson 75016 PARIS""}"
paris;wifi;ee2acb8776aefc0589602785412629dc;48.869286;2.360338;"{""name"":""Biblioth\u00e8que Lancry"",""note"":""11, Rue De Lancry 75010 PARIS""}"
paris;wifi;7907528eef0352cfca44b580541c38ad;48.873360;2.340530;"{""name"":""Biblioth\u00e8que Drouot"",""note"":""11, Rue Drouot 75009 PARIS""}"
paris;wifi;44213ade7fd0ef84724ed27dae05ff1b;48.888168;2.302397;"{""name"":""Biblioth\u00e8que Edmond Rostand"",""note"":""11, Rue Nicolas Chuquet 75017 PARIS""}"
paris;wifi;54583a09dbc7b73c9aea52c166ad83a1;48.859928;2.403556;"{""name"":""M\u00e9diath\u00e8que Marguerite Duras"",""note"":""115 Rue de Bagnolet 75020 PARIS""}"
paris;wifi;ba5d02be5c606bfe7ab55e38e2d998ec;48.874832;2.363691;"{""name"":""Centre d\u0027animation espace Jemmapes"",""note"":""116, Quai de Jemmapes 75010 PARIS""}"
paris;wifi;ce8a588dbcfa50275932e11a778ae630;48.856792;2.320063;"{""name"":""Mairie du 7E Arrondissement \/ Biblioth\u00e8que Saint Simon"",""note"":""116, Rue De Grenelle 75007 PARIS""}"
paris;wifi;8ed8fd1fb07fe650201b7491a675d29f;48.872002;2.399726;"{""name"":""Biblioth\u00e8que Saint Fargeau"",""note"":""12, Rue Du Telegraphe 75020 PARIS""}"
paris;wifi;e0879ed0069c51429b3b88824bf72653;48.869949;2.394285;"{""name"":""Carre Baudoin"",""note"":""121, Rue De Menilmontant 75020 PARIS""}"
paris;wifi;3ac8a39d09ea59d8bdcede28322ec09b;48.823723;2.358021;"{""name"":""Maison de L\u0027Emploi Du 13eme"",""note"":""126, Avenue D\u0027Italie 75013 PARIS""}"
paris;wifi;8418b8375954030d58d05160f5d88329;48.860619;2.404614;"{""name"":""Square Antoine Blondin"",""note"":""128, Rue De Bagnolet 75020 PARIS""}"
